Mods count: 110
 
jar name                                                                | mod id (isMCreator)             | mixin configs
structureessentials-1.20.1-4.7.jar                                      | structureessentials             | structureessentials.mixins.json
supermartijn642configlib-1.1.8-forge-mc1.20.jar                         | supermartijn642configlib        | 
supermartijn642corelib-1.1.18-forge-mc1.20.1.jar                        | supermartijn642corelib          | supermartijn642corelib.mixins.refmap.json, supermartijn642corelib.mixins.json
TConstruct-1.20.1-3.10.2.92.jar                                         | tconstruct                      | 
TerraBlender-forge-1.20.1-3.0.1.10.jar                                  | terrablender                    | terrablender.mixins.json, terrablender_forge.mixins.json
titanium-1.20.1-3.8.32.jar                                              | titanium                        | 
toofast-1.20-0.4.3.5.jar                                                | toofast                         | toofast.mixins.json
toomanyrecipeviewers-0.6.3+mc.20.1.jar                                  | toomanyrecipeviewers            | toomanyrecipeviewers.mixins.json
UnionLib-1.20.1-12.0.18-Forge-all.jar                                   | unionlib                        | unionlib_potionfluid.mixins.json, unionlib.insert.mixins.json, unionlib.mixins.json
    /META-INF/jarjar/antlr4-runtime-4.7.2.jar                           |                                 | 
    /META-INF/jarjar/jsr305-3.0.2.jar                                   |                                 | 
    /META-INF/jarjar/tomlj-1.0.0.jar                                    |                                 | 
ytech-1.20.1-0.10.6-all.jar                                             | ytech                           | mixins.ytech.refmap.json, mixins.ytech.json
    /META-INF/jarjar/objenesis-3.4.jar                                  |                                 | 
